id,puzzle,clues,difficulty,solutions_found,nodes_explored,max_recursion_depth,solve_time_ms,is_solved,leaves
0,puzzle,0,0.0,0,0,0,0,false,0
1,1..5.37..6.3..8.9......98...1.......8761..........6...........7.8.9.76.47...6.312,27,2.2,1,110300,53,16,true,33553
21,...8.....86....95.3.9..24.8.....132.6.......52...................19.3.4...2..4.3.,23,0.0,1,13659,57,1,true,5411
41,5.7.....8..6.4...7.937........3.7.5..3..2......2..18.........1.1..4...9.9.4..3...,24,3.8,1,18266,56,2,true,5611
61,.6497....5....1...9...4.5......32......7..42...8.1..5.735.....969..8..7.......6..,26,2.2,1,10832,54,1,true,3011
81,.....2.8..4.15.........63.5.3...91..7.4.3...9....41.2......7...8...1..3.1.....67.,25,2.2,1,3575,55,0,true,1195
101,.4......39..7...4.3.6...2.......9.67....2..54..5.1.9.2..81.2....2..45..9.53......,27,4.6,1,3556,53,0,true,975
121,..5.243...8..1....2.3...95........2.....4.6.7...8.359....4.2.1...9..7.......5.4..,25,0.0,1,82612,55,11,true,29561
141,2...561...7...8...6....4....56..7.2..9.8.5.4...7.3....1.8....94..5.....8........1,25,0.0,1,11773,55,1,true,3602
161,23.....5.75.....6.....6...81....869......9..1.......7.8.19.72.....4......6...15..,24,2.4,1,68526,56,9,true,21794
181,.2..1....36..7...5....89...9..........3..7..1742..6.3......815........42....63..8,25,2.0,1,70341,55,9,true,24251
201,....386....5...9..2..........6..1..4.......2.....438.74..8.6...1.8.2.....9.5..7.8,24,1.8,1,120977,56,16,true,41292
221,.4.........3.2.........59.1.8...9.3.129....8....7..4......7.69.6..31...22....8...,24,2.9,1,44226,56,5,true,11048
241,1......5..2....1.4.7..6........2.5...37.....8....9..2.9...54.....21....3.1...3...,22,1.8,1,1156647,58,154,true,335459
261,9.2........4..8..27....1..4....3..41...1...7......93....5...4...1956........7.8..,23,0.0,1,261773,57,35,true,75654
281,.7.........8.1...3..34.25......4..5.6.....2....5179...5......7....8.412.......6.8,24,0.0,1,9437,56,1,true,2809
301,..4.....28.3..4....6......1.......6....72.5..51.3........1.36.9....49.......6.2.7,23,2.0,1,520298,57,69,true,152922
321,64....5...3......2..2.51...3..7...1.....8...38.16.429...4..........934..2..8.....,25,1.5,1,1223,55,0,true,370
341,..73......9.4..1...6.5...34.....57.....2.7..3..5...641...7......4...8.6.18......2,25,1.9,1,47517,55,6,true,18077
361,...9......3....2...14...3..3.61.5.4..214.97....987..........463........72..5....8,26,0.0,1,6055,54,0,true,1485
381,.32....5.45..3..9..7.8........7........9.1.6.8..4...3...7..6.2...6.....5.9.2..17.,25,0.0,1,172172,55,23,true,54034
401,.84.2........65..1.....8...21.......4.863..7.7....9...8.9.1...2.6..8..4...13..6..,26,0.0,1,107074,54,14,true,28101
421,.93...8.......2.9....1...346.....7.5.2.4.....8.........19.2..8.............3.75.1,22,1.2,1,45116,58,6,true,12601
441,....917....9.2...5.7.4....2.1.......652.8.........2..3..467...89..8...1...3....4.,25,1.1,1,18308,55,2,true,5807
461,2.....69......9....3...57..4.8.5......73.61..39.4..5.6....4...18.6..........72...,25,3.0,1,37856,55,5,true,9738
481,8.9.6..2..6............7....4..3...5...5.16.....946..7..8...5615.1...2....4....38,26,1.2,1,131484,54,18,true,41094
501,...1....7.4...58....6..8.4....61..2.........69...53.7....3.....3.9.824...5.4....8,25,0.0,1,291930,55,39,true,79116
521,..89..46.9.32....1....4..9....6...27..95.73..1..........2...8.66....3...3.....7..,25,1.5,1,447,55,0,true,119
541,..1...........34.6.27.1..93..98.....4.6..21.......4.6..92..5.4.......2...7..9....,24,0.0,1,3846,56,0,true,1171
561,......8...1.93.24....7....3..5..7..9.396...84..6.......8.4...1.....897....7..3...,25,2.1,1,33276,55,4,true,9999
581,.8..9...2....3..4.7.5..4...91..5267......1..8.3.9....1..8...........7...29.....5.,24,0.0,1,2528,56,0,true,755
601,1.8.4....3..69.4......3..569.6....71...75....5.3.............27.4.5.6.9..........,24,2.7,1,3517,56,0,true,929
621,.865......1...2.8...2...6.......71.3.7..3...6..9......9...582..3..7...95...2...1.,25,0.0,1,27055,55,3,true,8084
641,5..........6...48..78.35...........445...26.7.....39.............92.6.186...582..,25,1.3,1,156640,55,22,true,60572
661,..4..5.....7.34.28.2......5...26...7..1....3.....9..5.....4.76..6...1.........8.9,23,0.0,1,159543,57,22,true,53966
681,9..1..3.......3.87.48......6...1........5..19.7......2.2.9....5...3...9......76..,22,1.8,1,46529,58,6,true,14321
701,..347.....5.8...........3.....9..8...6...21.72...8..4.6..5..28...52.......9..1.6.,24,1.5,1,175694,56,23,true,52531
721,....6....63...2..1...1........7.1..69.6...5..4...9...........92..82......7.8...43,22,4.5,1,260933,58,35,true,77476
741,.59.84...1.......926.9.5.4......8.17.916...3...6.............76....7.82..738...5.,28,0.0,1,1663,52,0,true,462
761,69.........49........4..35.71.....6...829.1...5..3....5476..2.......2.....3.7..1.,25,1.5,1,32014,55,4,true,9856
781,...5.......472...1..2.9.5..7...1.....2..7.....9..4.83......4..6..6...9..3.8....7.,23,0.0,1,133236,57,17,true,45721
801,594....6..........6..394.1...........1.5.36.....4....31.26.........3187...7...9..,24,0.0,1,265080,56,36,true,84782
821,..9.1....651.........6.2....34......9..8..42..7..3.58.3....9..7.6.1...4......53..,25,0.0,1,106846,55,14,true,35467
841,..2...84....6..251....8...338..46...2.......7..13.....9..4.......62......4....17.,24,0.0,1,81031,56,10,true,26141
861,1...97.3...2.8.......36......6....4851...2..62........7...3..5...4...9...3...5...,23,0.0,1,5836,57,0,true,1681
